"Time(s)"	"Absorbance (AU)"
       1.4	  -7.96380E-2
      22.0	  -1.37482E-2
      42.0	  -4.38166E-3
      62.0	   3.29971E-3
      82.0	   1.03745E-2
     102.0	   1.66903E-2
     122.0	   2.30060E-2
     142.0	   2.88668E-2
     162.0	   3.43528E-2
     182.0	   3.98698E-2
     202.0	   4.50635E-2
     222.0	   5.02763E-2
     242.0	   5.46918E-2
     262.0	   5.92470E-2
     282.0	   6.33092E-2
     302.0	   6.73156E-2
     322.0	   7.13005E-2
     342.0	   7.46174E-2
     362.0	   7.81646E-2
     382.0	   8.12769E-2
     402.0	   8.40497E-2
     422.0	   8.71077E-2
     442.0	   8.95472E-2
     462.0	   9.21245E-2
     482.0	   9.43775E-2
     502.0	   9.67693E-2
     522.0	   9.87372E-2
     542.0	     0.100499
     562.0	     0.102371
     582.0	     0.103825
     602.0	     0.105623
     622.0	     0.107085
     642.0	     0.108393
     662.0	     0.109591
     682.0	     0.111074
     702.0	     0.111792
     722.0	     0.113058
     742.0	     0.113722
     762.0	     0.114543
     782.0	     0.115474
     802.0	     0.116092
     822.0	     0.116756
     842.0	     0.117146
     862.0	     0.117701
     882.0	     0.118317
     902.0	     0.118426
     922.0	     0.119046
     942.0	     0.118989
     962.0	     0.119497
     982.0	     0.119664
    1002.0	     0.119943
    1022.0	     0.119829
    1042.0	     0.119885
    1062.0	     0.119943
    1082.0	     0.120162
    1102.0	     0.120159
    1122.0	     0.119778
    1142.0	     0.119878
    1162.0	     0.119600
    1182.0	     0.119376
    1202.0	     0.119265
    1222.0	     0.119320
    1242.0	     0.118650
    1262.0	     0.118595
    1282.0	     0.118268
    1302.0	     0.117702
    1322.0	     0.117812
    1342.0	     0.117271
    1362.0	     0.116650
    1382.0	     0.116589
    1402.0	     0.115866
    1422.0	     0.115595
    1442.0	     0.115425
    1462.0	     0.114872
    1482.0	     0.114429
    1502.0	     0.113877
    1522.0	     0.113545
    1542.0	     0.112991
    1562.0	     0.112328
    1582.0	     0.111953
    1602.0	     0.111341
    1622.0	     0.110965
    1642.0	     0.110410
    1662.0	     0.109857
    1682.0	     0.109145
    1702.0	     0.108815
    1721.9	     0.108115
    1741.9	     0.107564
    1761.9	     0.106851
    1781.9	     0.106422
    1801.9	     0.105724
    1821.9	     0.105290
    1841.9	     0.104743
    1861.9	     0.103775
    1881.9	     0.103562
    1901.9	     0.102684
    1921.9	     0.102099
    1941.9	     0.101406
    1961.9	     0.100755
    1981.9	     0.100276
    2001.9	   9.94244E-2
    2021.9	   9.91001E-2
    2041.9	   9.81922E-2
    2061.9	   9.76605E-2
    2081.9	   9.70755E-2
    2101.9	   9.63850E-2
    2121.9	   9.55372E-2
    2141.9	   9.52649E-2
    2161.9	   9.42140E-2
    2181.9	   9.34811E-2
    2201.9	   9.30543E-2
    2221.9	   9.23762E-2
    2241.9	   9.16924E-2
    2261.9	   9.11078E-2
    2281.9	   9.03792E-2
    2301.9	   9.00149E-2
    2321.9	   8.91814E-2
    2341.9	   8.85034E-2
    2361.9	   8.77643E-2
    2381.9	   8.68325E-2
    2401.9	   8.64253E-2
    2421.9	   8.56962E-2
    2441.9	   8.52838E-2
    2461.9	   8.46038E-2
    2481.9	   8.38795E-2
    2501.9	   8.31094E-2
    2521.9	   8.24971E-2
    2541.9	   8.20332E-2
    2561.9	   8.12640E-2
    2581.9	   8.05473E-2
    2601.9	   7.98278E-2
    2621.9	   7.95255E-2
    2641.9	   7.87568E-2
    2661.9	   7.82471E-2
    2681.9	   7.75890E-2
