"Wavelength (nm)"	"Absorbance (AU)"	"Std.Dev."
     337.0	     0.286451	   2.10008E-4
     338.0	     0.296357	   1.56876E-4
     339.0	     0.307088	   2.03323E-4
     340.0	     0.317248	   2.33313E-4
     341.0	     0.327313	   1.75569E-4
     342.0	     0.337065	   1.22687E-4
     343.0	     0.346714	   1.69158E-4
     344.0	     0.355918	   1.98158E-4
     345.0	     0.364877	   2.97326E-4
     346.0	     0.373417	   4.01849E-4
     347.0	     0.382133	   2.50619E-4
     348.0	     0.390031	   1.63680E-4
     349.0	     0.398620	   1.74848E-4
     350.0	     0.406817	   3.04770E-4
     351.0	     0.414775	   1.94853E-4
     352.0	     0.422202	   2.24857E-4
     353.0	     0.428757	   2.07603E-4
     354.0	     0.434779	   2.47132E-4
     355.0	     0.439430	   2.96542E-4
     356.0	     0.444825	   3.59787E-4
     357.0	     0.450297	   3.95719E-4
     358.0	     0.454673	   4.34566E-4
     359.0	     0.459614	   2.56870E-4
     360.0	     0.463741	   2.50161E-4
     361.0	     0.467555	   2.18239E-4
     362.0	     0.469329	   2.80847E-4
     363.0	     0.471632	   2.73483E-4
     364.0	     0.472277	   2.60254E-4
     365.0	     0.473605	   2.52333E-4
     366.0	     0.473484	   3.15509E-4
     367.0	     0.472658	   3.00412E-4
     368.0	     0.471499	   2.67981E-4
     369.0	     0.470081	   2.90957E-4
     370.0	     0.468233	   2.07625E-4
     371.0	     0.465869	   2.39731E-4
     372.0	     0.463022	   2.02682E-4
     373.0	     0.458883	   2.49075E-4
     374.0	     0.453036	   1.84580E-4
     375.0	     0.446913	   1.62620E-4
     376.0	     0.439687	   1.93330E-4
     377.0	     0.431457	   2.21232E-4
     378.0	     0.423644	   1.94718E-4
     379.0	     0.414574	   1.68371E-4
     380.0	     0.405260	   1.42321E-4
     381.0	     0.395912	   1.46326E-4
     382.0	     0.386025	   1.78100E-4
     383.0	     0.375390	   1.89217E-4
     384.0	     0.364232	   1.81193E-4
     385.0	     0.353455	   1.52379E-4
     386.0	     0.341482	   1.53227E-4
     387.0	     0.328615	   1.81904E-4
     388.0	     0.315939	   1.33617E-4
     389.0	     0.303378	   1.06040E-4
     390.0	     0.289653	   1.00018E-4
     391.0	     0.276280	   1.05315E-4
     392.0	     0.262520	   1.53894E-4
     393.0	     0.249764	   1.27988E-4
     394.0	     0.237440	   1.26526E-4
     395.0	     0.225126	   1.41144E-4
     396.0	     0.213322	   1.09469E-4
     397.0	     0.201627	   1.06207E-4
     398.0	     0.191019	   1.21383E-4
     399.0	     0.180719	   1.59272E-4
     400.0	     0.170842	   1.22387E-4
     401.0	     0.161161	   1.64148E-4
     402.0	     0.151598	   1.42586E-4
     403.0	     0.142530	   1.07270E-4
     404.0	     0.133846	   1.45500E-4
     405.0	     0.125458	   1.04420E-4
     406.0	     0.118290	   8.43180E-5
     407.0	     0.111250	   8.29710E-5
     408.0	     0.105016	   9.76737E-5
     409.0	   9.95655E-2	   1.11135E-4
     410.0	   9.46765E-2	   1.24549E-4
     411.0	   9.05299E-2	   1.35180E-4
     412.0	   8.70571E-2	   7.62746E-5
     413.0	   8.34460E-2	   1.06667E-4
     414.0	   8.07304E-2	   1.06184E-4
     415.0	   7.83615E-2	   1.34316E-4
     416.0	   7.60951E-2	   9.22455E-5
     417.0	   7.40933E-2	   1.11881E-4
     418.0	   7.24716E-2	   1.44899E-4
     419.0	   7.08184E-2	   1.52805E-4
     420.0	   6.95124E-2	   1.44726E-4
     421.0	   6.81705E-2	   1.48535E-4
     422.0	   6.68578E-2	   1.10004E-4
     423.0	   6.54054E-2	   1.18674E-4
     424.0	   6.43067E-2	   1.38595E-4
     425.0	   6.32701E-2	   1.57965E-4
     426.0	   6.23693E-2	   1.69002E-4
     427.0	   6.12073E-2	   1.44685E-4
     428.0	   6.02989E-2	   1.57625E-4
     429.0	   5.94726E-2	   1.19729E-4
     430.0	   5.82218E-2	   1.93448E-4
     431.0	   5.75948E-2	   1.94601E-4
     432.0	   5.66158E-2	   1.66060E-4
     433.0	   5.63178E-2	   1.59708E-4
     434.0	   5.48458E-2	   1.54857E-4
     435.0	   5.38931E-2	   1.56568E-4
     436.0	   5.29470E-2	   1.61641E-4
     437.0	   5.22180E-2	   1.63092E-4
     438.0	   5.17230E-2	   1.40268E-4
     439.0	   5.05204E-2	   1.54257E-4
     440.0	   4.96964E-2	   1.45563E-4
     441.0	   4.86522E-2	   1.66893E-4
     442.0	   4.76437E-2	   1.58247E-4
     443.0	   4.71306E-2	   1.22869E-4
     444.0	   4.60048E-2	   8.76239E-5
     445.0	   4.53191E-2	   1.10330E-4
     446.0	   4.41680E-2	   1.33160E-4
     447.0	   4.33288E-2	   1.14671E-4
     448.0	   4.27008E-2	   1.16458E-4
     449.0	   4.15735E-2	   1.34647E-4
     450.0	   4.05822E-2	   1.30235E-4
     451.0	   3.99423E-2	   1.43543E-4
     452.0	   3.90949E-2	   2.18768E-4
     453.0	   3.80254E-2	   1.81414E-4
     454.0	   3.73831E-2	   1.56184E-4
     455.0	   3.64676E-2	   1.61019E-4
     456.0	   3.56116E-2	   1.74405E-4
     457.0	   3.48048E-2	   1.74071E-4
     458.0	   3.38726E-2	   1.65994E-4
     459.0	   3.27172E-2	   1.32059E-4
     460.0	   3.21136E-2	   1.46543E-4
     461.0	   3.10903E-2	   1.74097E-4
     462.0	   3.01151E-2	   1.53944E-4
     463.0	   3.00970E-2	   1.30451E-4
     464.0	   2.89798E-2	   1.50605E-4
     465.0	   2.79598E-2	   1.43140E-4
     466.0	   2.71559E-2	   1.30925E-4
     467.0	   2.62604E-2	   1.49389E-4
     468.0	   2.55742E-2	   1.13747E-4
     469.0	   2.45452E-2	   1.44742E-4
     470.0	   2.39458E-2	   1.26444E-4
     471.0	   2.33083E-2	   1.35452E-4
     472.0	   2.27304E-2	   2.07209E-4
     473.0	   2.16308E-2	   1.89164E-4
     474.0	   2.10338E-2	   1.43362E-4
     475.0	   2.06013E-2	   1.00891E-4
     476.0	   1.97349E-2	   1.19710E-4
     477.0	   1.91498E-2	   1.37914E-4
     478.0	   1.80168E-2	   1.39034E-4
     479.0	   1.78185E-2	   1.37313E-4
     480.0	   1.70689E-2	   9.02647E-5
     481.0	   1.63450E-2	   5.48850E-5
     482.0	   1.58119E-2	   5.47875E-5
     483.0	   1.53975E-2	   7.65617E-5
     484.0	   1.54114E-2	   9.32092E-5
     485.0	   1.51515E-2	   5.99584E-5
     486.0	   1.37906E-2	   6.50267E-5
     487.0	   1.26095E-2	   8.01838E-5
     488.0	   1.23100E-2	   6.00190E-5
     489.0	   1.18489E-2	   5.66153E-5
     490.0	   1.12977E-2	   5.74811E-5
     491.0	   1.07179E-2	   8.43786E-5
     492.0	   1.02067E-2	   1.21435E-4
     493.0	   9.99165E-3	   1.19406E-4
     494.0	   9.25684E-3	   1.32790E-4
     495.0	   8.79049E-3	   1.05507E-4
     496.0	   8.42381E-3	   7.97673E-5
     497.0	   7.85065E-3	   9.34649E-5
     498.0	   7.65038E-3	   9.38970E-5
     499.0	   6.80208E-3	   1.15804E-4
     500.0	   6.67858E-3	   1.08193E-4
     501.0	   6.22654E-3	   1.16659E-4
     502.0	   5.92804E-3	   1.06025E-4
     503.0	   5.42974E-3	   9.41122E-5
     504.0	   4.95625E-3	   1.10581E-4
     505.0	   4.82178E-3	   9.02697E-5
     506.0	   4.40598E-3	   8.94702E-5
     507.0	   4.10461E-3	   1.10589E-4
     508.0	   3.82710E-3	   1.23423E-4
     509.0	   3.65448E-3	   8.59154E-5
     510.0	   3.21627E-3	   6.56115E-5
     511.0	   3.04985E-3	   6.98351E-5
     512.0	   2.48909E-3	   1.07141E-4
     513.0	   2.42186E-3	   9.73869E-5
     514.0	   2.05088E-3	   1.12183E-4
     515.0	   1.99032E-3	   1.14423E-4
     516.0	   1.78480E-3	   1.10651E-4
     517.0	   1.36089E-3	   9.79480E-5
     518.0	   1.27172E-3	   7.60731E-5
     519.0	   1.13201E-3	   6.93860E-5
     520.0	   9.18388E-4	   6.59950E-5
     521.0	   5.80311E-4	   7.76205E-5
     522.0	   4.50134E-4	   8.10160E-5
     523.0	   4.10557E-4	   9.35598E-5
     524.0	   3.71456E-4	   8.55667E-5
     525.0	   1.25408E-4	   6.82960E-5
     526.0	   1.07765E-4	   8.45549E-5
     527.0	  -6.77109E-5	   6.77528E-5
     528.0	  -1.01566E-4	   9.40470E-5
     529.0	  -2.56538E-4	   8.90576E-5
     530.0	  -5.08785E-4	   8.23673E-5
     531.0	  -5.56469E-4	   6.26855E-5
     532.0	  -4.95911E-4	   5.86519E-5
     533.0	  -5.42641E-4	   8.54670E-5
     534.0	  -6.01768E-4	   9.77807E-5
     535.0	  -7.75337E-4	   1.03957E-4
     536.0	  -8.95977E-4	   7.62105E-5
     537.0	  -8.98361E-4	   8.66323E-5
     538.0	  -8.35419E-4	   7.63773E-5
     539.0	  -9.85622E-4	   8.35636E-5
     540.0	  -9.07421E-4	   1.04001E-4
     541.0	  -1.10865E-3	   8.97113E-5
     542.0	  -1.03760E-3	   7.21349E-5
     543.0	  -1.17016E-3	   5.74890E-5
     544.0	  -1.27888E-3	   6.16505E-5
     545.0	  -1.23501E-3	   6.27725E-5
     546.0	  -1.26743E-3	   9.26832E-5
     547.0	  -1.34945E-3	   9.07595E-5
     548.0	  -1.34277E-3	   8.31599E-5
     549.0	  -1.42336E-3	   6.64773E-5
     550.0	  -1.60122E-3	   5.68527E-5
     551.0	  -1.41764E-3	   7.44019E-5
     552.0	  -1.55926E-3	   5.55930E-5
     553.0	  -1.66559E-3	   5.94232E-5
     554.0	  -1.77240E-3	   8.39707E-5
     555.0	  -1.71852E-3	   5.29257E-5
     556.0	  -1.84488E-3	   5.29064E-5
     557.0	  -1.87349E-3	   7.66878E-5
     558.0	  -1.87016E-3	   8.82239E-5
     559.0	  -1.92928E-3	   8.13423E-5
     560.0	  -1.91975E-3	   5.67096E-5
     561.0	  -1.95980E-3	   4.65289E-5
     562.0	  -1.89066E-3	   5.36299E-5
     563.0	  -1.99366E-3	   6.54275E-5
     564.0	  -1.91402E-3	   6.14547E-5
     565.0	  -2.08282E-3	   5.93255E-5
     566.0	  -2.09999E-3	   5.97618E-5
     567.0	  -1.97601E-3	   5.80097E-5
     568.0	  -1.81866E-3	   4.73740E-5
     569.0	  -1.61505E-3	   4.39014E-5
     570.0	  -1.50108E-3	   6.83875E-5
     571.0	  -1.42860E-3	   4.10128E-5
     572.0	  -1.47867E-3	   4.09518E-5
     573.0	  -1.33657E-3	   5.24076E-5
     574.0	  -1.27602E-3	   5.10049E-5
     575.0	  -1.53828E-3	   7.15272E-5
     576.0	  -1.33610E-3	   5.12794E-5
     577.0	  -1.04094E-3	   4.80649E-5
     578.0	  -1.35899E-3	   5.14067E-5
     579.0	  -1.33801E-3	   5.02798E-5
     580.0	  -1.06764E-3	   6.41253E-5
     581.0	  -7.39574E-4	   4.77742E-5
     582.0	  -1.35803E-3	   7.12181E-5
     583.0	  -1.73903E-3	   6.63609E-5
     584.0	  -1.25265E-3	   5.40984E-5
     585.0	  -1.33610E-3	   5.57471E-5
     586.0	  -1.64509E-3	   5.35227E-5
     587.0	  -1.42860E-3	   5.86141E-5
     588.0	  -1.51443E-3	   7.27923E-5
     589.0	  -1.97792E-3	   4.28955E-5
     590.0	  -2.02513E-3	   4.43369E-5
     591.0	  -2.02227E-3	   6.88695E-5
     592.0	  -1.78766E-3	   6.47604E-5
     593.0	  -1.66130E-3	   7.30449E-5
     594.0	  -1.77479E-3	   6.69120E-5
     595.0	  -1.58596E-3	   8.19897E-5
     596.0	  -2.00176E-3	   6.54606E-5
     597.0	  -1.91307E-3	   6.93958E-5
     598.0	  -1.82199E-3	   5.99034E-5
     599.0	  -1.69754E-3	   6.03505E-5
     600.0	  -1.84727E-3	   5.53758E-5
     601.0	  -1.69754E-3	   4.61893E-5
     602.0	  -1.82533E-3	   6.56028E-5
     603.0	  -1.77956E-3	   7.57541E-5
     604.0	  -2.02799E-3	   7.16621E-5
     605.0	  -1.95551E-3	   8.71347E-5
     606.0	  -1.87492E-3	   7.03363E-5
     607.0	  -2.03800E-3	   6.14713E-5
     608.0	  -2.11859E-3	   5.83137E-5
     609.0	  -2.18248E-3	   6.83692E-5
     610.0	  -1.93787E-3	   6.91101E-5
     611.0	  -2.13051E-3	   6.06652E-5
     612.0	  -2.23923E-3	   5.69875E-5
     613.0	  -1.94407E-3	   5.82376E-5
     614.0	  -2.03753E-3	   6.39335E-5
     615.0	  -2.06900E-3	   6.64346E-5
     616.0	  -2.25878E-3	   6.06540E-5
     617.0	  -2.15197E-3	   5.99517E-5
     618.0	  -2.28405E-3	   6.31625E-5
     619.0	  -2.29216E-3	   7.75033E-5
     620.0	  -2.07663E-3	   5.50339E-5
     621.0	  -2.35462E-3	   6.49847E-5
     622.0	  -1.92690E-3	   4.88357E-5
