"Time(s)"	"Absorbance (AU)"
       1.4	  -7.68623E-2
      22.0	  -7.70440E-2
      42.0	  -7.70512E-2
      62.0	  -7.70040E-2
      82.0	  -7.68828E-2
     102.0	  -7.69343E-2
     122.0	  -7.70879E-2
     142.0	  -7.71880E-2
     162.0	  -7.71375E-2
     182.0	  -7.72247E-2
     202.0	  -7.69119E-2
     222.0	  -7.69253E-2
     242.0	  -7.70493E-2
     262.0	  -7.71122E-2
     282.0	  -7.70998E-2
     302.0	  -7.71008E-2
     322.0	  -7.70144E-2
     342.0	  -7.70521E-2
     362.0	  -7.70526E-2
     382.0	  -7.71642E-2
     402.0	  -7.71489E-2
     422.0	  -7.71103E-2
     442.0	  -7.71718E-2
     462.0	  -7.70798E-2
     482.0	  -7.70674E-2
     502.0	  -7.71480E-2
     522.0	  -7.71070E-2
     542.0	  -7.71952E-2
     562.0	  -7.71322E-2
     582.0	  -7.73153E-2
     602.0	  -7.71275E-2
     622.0	  -7.72080E-2
     642.0	  -7.70659E-2
     662.0	  -7.72457E-2
     682.0	  -7.70354E-2
     702.0	  -7.71985E-2
     722.0	  -7.70526E-2
     742.0	  -7.73072E-2
     762.0	  -7.71980E-2
     782.0	  -7.71618E-2
     802.0	  -7.70855E-2
     822.0	  -7.71775E-2
     842.0	  -7.72715E-2
     862.0	  -7.73315E-2
     882.0	  -7.71585E-2
     902.0	  -7.72381E-2
     922.0	  -7.73087E-2
     942.0	  -7.73897E-2
     962.0	  -7.73616E-2
     982.0	  -7.73263E-2
    1002.0	  -7.72424E-2
    1022.0	  -7.74841E-2
    1042.0	  -7.74369E-2
    1062.0	  -7.73187E-2
    1082.0	  -7.72820E-2
    1102.0	  -7.72429E-2
    1122.0	  -7.73320E-2
    1142.0	  -7.72686E-2
    1162.0	  -7.73025E-2
    1182.0	  -7.73683E-2
    1202.0	  -7.73478E-2
    1222.0	  -7.72543E-2
    1242.0	  -7.72672E-2
    1262.0	  -7.73110E-2
    1282.0	  -7.73406E-2
    1302.0	  -7.74574E-2
    1322.0	  -7.72996E-2
    1342.0	  -7.73668E-2
    1362.0	  -7.74922E-2
    1382.0	  -7.74107E-2
    1402.0	  -7.74388E-2
    1422.0	  -7.74012E-2
    1442.0	  -7.73182E-2
    1462.0	  -7.73549E-2
    1482.0	  -7.75347E-2
    1502.0	  -7.74240E-2
    1522.0	  -7.74069E-2
    1542.0	  -7.74317E-2
    1562.0	  -7.74403E-2
    1582.0	  -7.74174E-2
    1602.0	  -7.75571E-2
    1622.0	  -7.75442E-2
    1642.0	  -7.73368E-2
    1662.0	  -7.74288E-2
    1682.0	  -7.74984E-2
    1702.0	  -7.73988E-2
    1721.9	  -7.75123E-2
    1741.9	  -7.74097E-2
    1761.9	  -7.74307E-2
    1781.9	  -7.74441E-2
    1801.9	  -7.76052E-2
    1821.9	  -7.74827E-2
    1841.9	  -7.75576E-2
    1861.9	  -7.76091E-2
    1881.9	  -7.73907E-2
    1901.9	  -7.75156E-2
    1921.9	  -7.74817E-2
    1941.9	  -7.75690E-2
    1961.9	  -7.76439E-2
    1981.9	  -7.74217E-2
    2001.9	  -7.76811E-2
    2021.9	  -7.74379E-2
    2041.9	  -7.75299E-2
    2061.9	  -7.76558E-2
    2081.9	  -7.76558E-2
    2101.9	  -7.76935E-2
    2121.9	  -7.76186E-2
    2141.9	  -7.75714E-2
    2161.9	  -7.75852E-2
    2181.9	  -7.77092E-2
    2201.9	  -7.77483E-2
    2221.9	  -7.77969E-2
    2241.9	  -7.76649E-2
    2261.9	  -7.75452E-2
    2281.9	  -7.76834E-2
    2301.9	  -7.74789E-2
    2321.9	  -7.76830E-2
    2341.9	  -7.76567E-2
    2361.9	  -7.77769E-2
    2381.9	  -7.77855E-2
    2401.9	  -7.77040E-2
    2421.9	  -7.77035E-2
    2441.9	  -7.77354E-2
    2461.9	  -7.77826E-2
    2481.9	  -7.75914E-2
    2501.9	  -7.78174E-2
    2521.9	  -7.77392E-2
    2541.9	  -7.77502E-2
    2561.9	  -7.76606E-2
    2581.9	  -7.78627E-2
    2601.9	  -7.78208E-2
    2621.9	  -7.76629E-2
    2641.9	  -7.76186E-2
    2661.9	  -7.76649E-2
    2681.9	  -7.77731E-2
